text,label,source_dataset,source_label
for which reason was my card declined yesterday,escalate,DeepPavlov/clinc_oos,49
"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16",spam,SMS Spam Collection,spam
URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,spam,SMS Spam Collection,spam
Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,spam,SMS Spam Collection,spam
i can't figure out why my card was declined at target,escalate,DeepPavlov/clinc_oos,49
can you help me book a car rental in paris,lead,DeepPavlov/clinc_oos,40
i have detected fraudulent activity on my account,escalate,DeepPavlov/clinc_oos,70
5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,spam,SMS Spam Collection,spam
"i need to book a hotel in ny, queens arrive on 8th and leave on the 13th",lead,DeepPavlov/clinc_oos,116
can i use sour cream in place of creme fraiche,question,DeepPavlov/clinc_oos,134
i have a fraudulent transaction from wal mart showing on my account,escalate,DeepPavlov/clinc_oos,70
i believe that there is some fraudulent activity on my capital one account,escalate,DeepPavlov/clinc_oos,70
i want to know if you are a real person or an ai,escalate,DeepPavlov/clinc_oos,117
i will be in boston from march 2 to march 4 can i rent a car for that time,lead,DeepPavlov/clinc_oos,40
what phrase means goodbye in hawaii,question,DeepPavlov/clinc_oos,61
may i know if you are a real person or an ai,escalate,DeepPavlov/clinc_oos,117
what are the steps to change my insurance policy,lead,DeepPavlov/clinc_oos,64
what is the process to move money from one account to another,question,DeepPavlov/clinc_oos,133
i want to report fraudulent activity on my discover card,escalate,DeepPavlov/clinc_oos,70
help me modify my insurance policy,lead,DeepPavlov/clinc_oos,64
help me report a lost card,escalate,DeepPavlov/clinc_oos,12
What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,spam,SMS Spam Collection,spam
are you really real,question,DeepPavlov/clinc_oos,117
could i rent a car in seattle from next monday to thursday please,lead,DeepPavlov/clinc_oos,40
do you know which insurance plan i have,lead,DeepPavlov/clinc_oos,74
what is the pressure like on my tires,question,DeepPavlov/clinc_oos,98
i need to know how to report fraud on my discover card,escalate,DeepPavlov/clinc_oos,70
Want the latest Video handset? 750 anytime any network mins? Half price line rental? Reply or call 08000930705 for delivery tomorrow,spam,SMS Spam Collection,spam
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.,spam,SMS Spam Collection,spam
how much do you make,question,DeepPavlov/clinc_oos,93
when should my oil be changed,question,DeepPavlov/clinc_oos,123
what would you say my gas and phone bills are at,question,DeepPavlov/clinc_oos,27
book me a car rental in wichita,lead,DeepPavlov/clinc_oos,40
i want to report fraudulent activity on my visa,escalate,DeepPavlov/clinc_oos,70
can you schedule a meeting for me,lead,DeepPavlov/clinc_oos,18
can you make a reservation at the restaurant for tomorrow,lead,DeepPavlov/clinc_oos,23
i gotta report fraudulent activity on my credit card,escalate,DeepPavlov/clinc_oos,70
what is the exchange rate from pounds sterling to us dollars,question,DeepPavlov/clinc_oos,38
help me reserve a table for 3 at lucky's under the name crystal at 8 pm,lead,DeepPavlov/clinc_oos,23
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",spam,SMS Spam Collection,spam
how do you spell sanguine,question,DeepPavlov/clinc_oos,73
You have 1 new message. Please call 08718738034.,spam,SMS Spam Collection,spam
how can i schedule a vacation request,lead,DeepPavlov/clinc_oos,97
"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",spam,SMS Spam Collection,spam
"You can stop further club tones by replying ""STOP MIX"" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL, PO Box 1146 MK45 2WT (2/3)",spam,SMS Spam Collection,spam
how do i report a lost card,escalate,DeepPavlov/clinc_oos,12
help me figure out where this fraudulent transaction from google came from on my account,escalate,DeepPavlov/clinc_oos,70
