text,label,source_dataset,source_label
how to find lost luggage,escalate,DeepPavlov/clinc_oos,113
book me a car rental between january 1st to january 3rd in denver colorado and id prefer a ford,lead,DeepPavlov/clinc_oos,40
where should i spend my time off,question,DeepPavlov/clinc_oos,149
what is the amount of balance i have to pay on my bill,question,DeepPavlov/clinc_oos,27
"what time is it in glenwood springs, co",question,DeepPavlov/clinc_oos,4
why is my checking account not working,escalate,DeepPavlov/clinc_oos,2
tell me the number of calories in a banana,question,DeepPavlov/clinc_oos,135
"can you get me a car rental for march 13th to 15th in nyc, and i'd like a convertible if possible",lead,DeepPavlov/clinc_oos,40
explain why was my card declined at boston market,escalate,DeepPavlov/clinc_oos,49
how do i do a 401(k) rollover,question,DeepPavlov/clinc_oos,100
how long do i cook this for,question,DeepPavlov/clinc_oos,86
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",spam,SMS Spam Collection,spam
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",spam,SMS Spam Collection,spam
could you submit a pto request for me for dates june 11 to 14,lead,DeepPavlov/clinc_oos,97
Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,spam,SMS Spam Collection,spam
is it possible to make a reservation at sushi king in virginia beach,lead,DeepPavlov/clinc_oos,9
Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n,spam,SMS Spam Collection,spam
can you give me information on how to rent a car,lead,DeepPavlov/clinc_oos,40
book a flight from bangor to las vegas on may 1st and returning july 4th,lead,DeepPavlov/clinc_oos,63
i want to report fraudulent activity on my quicksilver card,escalate,DeepPavlov/clinc_oos,70
i wish to request a change in insurance plans,lead,DeepPavlov/clinc_oos,64
how good are the ratings for papa john's,question,DeepPavlov/clinc_oos,0
report a lost card here,escalate,DeepPavlov/clinc_oos,12
can i get a new pet insurance plan,lead,DeepPavlov/clinc_oos,64
can i make a reservation at chevy's,lead,DeepPavlov/clinc_oos,9
"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",spam,SMS Spam Collection,spam
how do i find lost luggage in an airport,escalate,DeepPavlov/clinc_oos,113
what is the lowest amount i can pay for my cable bill,question,DeepPavlov/clinc_oos,143
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,spam,SMS Spam Collection,spam
i want to report fraudulent activity on my card,escalate,DeepPavlov/clinc_oos,70
